ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,CGPA_Binned,Cluster,Cluster_Optimized,PC1,PC2
54606.0,10,0,2011.0,3.83,3.54,3.42,4.16,4.41,3.44,0,2,2,1.1636202414115033,-0.7111688663784065
74973.0,10,0,2011.0,3.66,3.33,3.13,4.28,4.24,3.28,0,2,2,0.6688529624726002,-0.8274712072019431
28749.0,10,0,2011.0,4.09,3.5,3.94,4.62,4.56,3.91,0,1,1,2.105522167371638,-0.6985070279660541
29406.0,10,1,2011.0,3.28,3.41,3.12,3.29,3.3,3.28,1,2,2,-0.5440676443392328,-0.580022711309529
50336.0,10,0,2011.0,3.81,3.46,3.47,4.28,4.25,3.52,0,2,2,1.1384837528071403,-0.7326136048567875
34627.0,10,0,2011.0,3.41,3.09,3.2,3.84,3.69,3.05,1,2,2,-0.19845446225870178,-0.40480669550169496
65917.0,10,0,2011.0,4.55,4.35,4.71,4.79,4.41,3.75,0,1,1,3.292164541566095,-1.0426759245270818
70068.0,10,0,2011.0,2.5,3.02,2.69,3.23,2.3,2.15,1,0,0,-2.5416844505033533,-0.4869945808241115
55791.0,10,1,2011.0,3.89,3.3,3.67,4.45,4.39,2.73,0,1,1,1.074326107952784,-0.30752113591217745
77762.0,10,0,2011.0,4.04,3.96,3.94,4.42,3.98,4.06,0,1,1,1.9811937927586594,-1.4020670311533765
79850.0,10,0,2011.0,3.68,3.63,3.19,4.03,4.15,3.84,0,2,2,0.927623938322431,-1.2497704383606456
46988.0,10,1,2012.0,4.63,4.18,4.53,4.93,4.96,2.38,0,1,1,3.005661873435342,0.7599291098264485
38648.0,10,0,2012.0,3.84,3.63,3.55,4.24,4.18,2.6,0,2,2,0.9120069968851091,0.5972679455143381
84765.0,10,0,2014.0,1.9599999999999997,1.71,1.76,1.64,2.72,2.97,1,0,0,-4.436329454593011,0.7643515687914957
56919.0,10,1,2012.0,3.69,3.2,3.45,4.03,4.14,3.57,0,2,2,0.7393243207732075,-0.2286349571825975
64979.0,10,0,2012.0,2.78,2.9,2.22,3.26,3.0,2.89,1,0,0,-2.005525330608608,-0.046749820385346995
68153.0,10,0,2012.0,2.8,3.33,2.03,3.61,2.62,2.64,1,0,0,-1.9676928406790097,0.10152960428983931
29904.000000000004,10,0,2012.0,4.06,3.71,3.73,4.48,4.6,3.68,0,1,1,1.9640063211194203,0.11580824758383743
88770.0,10,1,2012.0,4.29,3.96,4.22,4.66,4.51,3.44,0,1,1,2.4895853501963487,-0.4108717919341967
33831.0,10,0,2012.0,3.01,2.69,2.81,3.71,3.12,2.46,1,2,2,-1.5038078973639148,0.542296002711712
70995.0,10,0,2012.0,3.02,2.8,2.73,3.9,2.85,2.68,1,2,2,-1.4461372239213124,0.0062685372332051525
79294.0,10,0,2012.0,3.85,3.55,3.49,4.52,4.17,4.11,0,1,1,1.5403478267510358,-0.7210334457694229
